Id,SalePrice
2658,111785.07762741229
2718,146246.40288016028
2414,176240.18666262578
1989,98783.02964206507
625,153309.33898312238
333,92327.49452946291
1327,107960.88151418195
858,134975.71881636954
95,157118.18117832878
1568,149910.50442959045
2482,138804.54187015764
1364,110775.97204063358
2584,132035.09405328234
818,215261.09145345716
2673,131574.92214872575
2089,117328.38288440577
1297,128258.44018886978
790,108099.354057698
2616,175256.83237482738
720,145480.95365784527
222,140090.658626187
557,108864.51551440152
1148,168930.9452937507
2766,146878.44939307784
534,149981.39148379644
1452,111173.7507112712
630,119942.45534131206
2648,102871.26971322956
125,138222.1875158445
1904,68757.95450221175
1670,103366.14099681462
756,92362.35111327027
717,123912.28333299293
1032,145348.191130323
852,174298.38253831345
1731,149724.53055541584
2639,111478.15521448791
2071,90065.81343855141
1267,106727.03187785817
1851,159726.6345880824
567,135767.46478925602
2439,172044.0363591073
1898,133586.18349499436
647,152418.83088786158
2256,175639.82576962936
979,100089.32849927944
1444,180617.10550724115
2485,112898.4456961208
157,122280.87748578518
88,115142.56005390889
2003,107234.67009811955
186,149995.80211202445
1425,181340.59212296727
2695,114345.87993624073
738,95840.98578667647
395,140490.3184654517
1353,140572.4137874904
1878,126846.07936177739
390,143539.11562540068
1456,185739.84667871761
1103,232038.61250119572
1387,118547.73599712522
2070,135914.35715248768
1199,152196.78777998767
2479,146449.89308911606
501,218456.4834127371
2362,98992.85511039259
1718,155859.68519141976
2188,87901.36680198392
1483,128914.7362111533
2557,82700.83098199203
437,249913.21694492223
2224,157824.2925333517
1628,147093.90077677087
397,127724.35279728725
587,167672.59816474025
2182,442652.8396043156
971,123466.34056468548
2611,129105.88904258025
1887,98701.23949924744
2399,240898.59968412327
2148,164497.74688028172
304,107752.04902174494
1997,111973.54729459745
2817,108742.66587377235
1431,164038.42321747186
427,207196.3879038856
263,110992.78827634703
598,154606.95783964172
2895,179232.57874692988
687,128843.53473219025
1822,127697.35790972091
2191,105032.78658099644
179,118235.84092858073
1009,157785.95165354334
2010,119594.29829553896
1991,117146.19954536337
1411,160508.67822596422
1721,171170.9100661875
1144,160911.22341624505
593,178191.96924410577
575,242801.97917449597
1249,147192.86247340226
1604,115096.83357363672
1064,336833.18953273067
1923,141362.59370588357
1988,108304.11576357928
2325,150652.82057272646
114,173228.36270861843
2700,148445.388159215
217,132139.92350513744
343,152115.72061967629
386,178950.58790067106
2005,119248.88984644302
2908,138986.0372943101
1814,204691.8993867401
2446,337413.22496634896
208,121513.05977596638
1679,100313.38691833812
